datetime,consumption
2023-04-30 15:17:00,-0.7056089
2023-04-30 15:18:00,-0.69085995
2023-04-30 15:19:00,-0.6720076
2023-04-30 15:20:00,-0.65349495
2023-04-30 15:21:00,-0.6368108499999999
2023-04-30 15:22:00,-0.6204923999999999
2023-04-30 15:23:00,-0.6088258499999999
2023-04-30 15:24:00,-0.61275755
2023-04-30 15:25:00,-0.62425465
2023-04-30 15:26:00,-0.6394615499999999
2023-04-30 15:27:00,-0.65362235
2023-04-30 15:28:00,-0.66760505
2023-04-30 15:29:00,-0.6824072999999999
2023-04-30 15:30:00,-0.69741655
2023-04-30 15:31:00,-0.73169595
2023-04-30 15:32:00,-0.7656234
2023-04-30 15:33:00,-0.7994125
2023-04-30 15:34:00,-0.8313905000000001
2023-04-30 15:35:00,-0.8616702499999999
2023-04-30 15:36:00,-0.8644955
2023-04-30 15:53:00,-0.8744924999999999
2023-04-30 16:10:00,-0.88753395
2023-04-30 16:26:00,-0.8764140500000001
2023-04-30 16:45:00,-0.8998262000000001
2023-04-30 16:46:00,-0.91346485
2023-04-30 16:47:00,-0.9271885500000001
2023-04-30 16:48:00,-0.9412816500000001
2023-04-30 17:04:00,-0.9461622000000001
2023-04-30 17:21:00,-0.9447437
2023-04-30 17:22:00,-0.93926515
2023-04-30 17:23:00,-0.93509765
2023-04-30 17:24:00,-0.93118265
2023-04-30 17:25:00,-0.9239470000000001
2023-04-30 17:26:00,-0.9159185
2023-04-30 17:27:00,-0.90732785
2023-04-30 17:28:00,-0.8993624
2023-04-30 17:29:00,-0.8916985000000001
2023-04-30 17:30:00,-0.8843445
2023-04-30 17:31:00,-0.8768210500000001
2023-04-30 17:32:00,-0.8946539499999999
2023-04-30 17:33:00,-0.8967298
2023-04-30 17:34:00,-0.8995042999999999
2023-04-30 17:35:00,-0.9264933999999999
2023-04-30 17:36:00,-0.9193802
2023-04-30 17:37:00,-0.9211701999999999
2023-04-30 17:38:00,-0.9235808499999999
2023-04-30 17:39:00,-0.92607855
2023-04-30 17:40:00,-0.9222230499999999
2023-04-30 17:41:00,-0.9163123
2023-04-30 17:42:00,-0.9107373500000001
2023-04-30 17:43:00,-0.9047462
2023-04-30 17:44:00,-0.8957451500000001
2023-04-30 17:45:00,-0.88630535
2023-04-30 17:46:00,-0.877265
2023-04-30 17:47:00,-0.8691894
2023-04-30 17:48:00,-0.8610394999999998
2023-04-30 17:49:00,-0.85248575
2023-04-30 17:50:00,-0.844758
2023-04-30 17:51:00,-0.8369559500000001
2023-04-30 17:53:00,-0.82804915
2023-04-30 17:54:00,-0.82430355
2023-04-30 17:55:00,-0.8207325000000001
2023-04-30 17:56:00,-0.82199375
2023-04-30 17:57:00,-0.8231613999999999
2023-04-30 17:58:00,-0.8230571
2023-04-30 17:59:00,-0.8224959500000001
2023-04-30 18:00:00,-0.8222654999999999
2023-04-30 18:01:00,-0.8262377
2023-04-30 18:02:00,-0.83001705
2023-04-30 18:03:00,-0.8334871
2023-04-30 18:04:00,-0.8371826000000001
2023-04-30 18:05:00,-0.8438404500000001
2023-04-30 18:06:00,-0.8543218
2023-04-30 18:07:00,-0.8652398499999999
2023-04-30 18:08:00,-0.8754914000000001
2023-04-30 18:09:00,-0.8851721
2023-04-30 18:10:00,-0.89125715
2023-04-30 18:11:00,-0.9234874
2023-04-30 18:12:00,-0.9364019000000001
2023-04-30 18:13:00,-0.9488702999999999
2023-04-30 18:14:00,-0.96221795
2023-04-30 18:15:00,-0.9753927
2023-04-30 18:16:00,-0.9849501
2023-04-30 18:17:00,-0.99516915
2023-04-30 18:18:00,-1.00564595
2023-04-30 18:19:00,-1.0162873
2023-04-30 18:20:00,-1.0263286
2023-04-30 18:21:00,-1.0306857500000002
2023-04-30 18:22:00,-1.03459865
2023-04-30 18:23:00,-1.0393966
2023-04-30 18:24:00,-1.04402775
2023-04-30 18:25:00,-1.0446857
